date,Town,Count,Tests
2020-04-29,Holbrook,135,NA
2020-04-29,Holden,50,NA
2020-04-29,Holland,5,NA
2020-04-29,Holliston,34,NA
2020-04-29,Holyoke,596,NA
2020-04-29,Hopedale,17,NA
2020-04-29,Hopkinton,108,NA
2020-04-29,Hubbardston,3,NA
2020-04-29,Hudson,99,NA
2020-04-29,Hull,32,NA
2020-04-29,Huntington,9,NA
2020-04-29,Ipswich,46,NA
2020-04-29,Kingston,61,NA
2020-04-29,Lakeville,41,NA
2020-04-29,Lancaster,54,NA
2020-04-29,Lanesborough,5,NA
2020-04-29,Lawrence,1639,NA
2020-04-29,Lee,15,NA
2020-04-29,Leicester,91,NA
2020-04-29,Lenox,12,NA
2020-04-29,Leominster,207,NA
2020-04-29,Leverett,3,NA
2020-04-29,Lexington,257,NA
2020-04-29,Leyden,0,NA
2020-04-29,Lincoln,25,NA
2020-04-29,Littleton,76,NA
2020-04-29,Longmeadow,177,NA
2020-04-29,Lowell,1649,NA
2020-04-29,Ludlow,59,NA
2020-04-29,Lunenburg,34,NA
2020-04-29,Lynn,2056,NA
2020-04-29,Lynnfield,73,NA
2020-04-29,Malden,751,NA
2020-04-29,Manchester,13,NA
2020-04-29,Mansfield,110,NA
2020-04-29,Marblehead,118,NA
2020-04-29,Marion,7,NA
2020-04-29,Marlborough,429,NA
2020-04-29,Marshfield,106,NA
2020-04-29,Mashpee,37,NA
2020-04-29,Mattapoisett,15,NA
2020-04-29,Maynard,35,NA
2020-04-29,Medfield,28,NA
2020-04-29,Medford,756,NA
2020-04-29,Medway,61,NA
2020-04-29,Melrose,157,NA
2020-04-29,Mendon,14,NA
2020-04-29,Merrimac,16,NA
2020-04-29,Methuen,576,NA
2020-04-29,Middleborough,123,NA
2020-04-29,Middlefield,0,NA
2020-04-29,Middleton,109,NA
2020-04-29,Milford,316,NA
2020-04-29,Millbury,144,NA
2020-04-29,Millis,32,NA
2020-04-29,Millville,10,NA
2020-04-29,Milton,195,NA
2020-04-29,Monroe,0,NA
2020-04-29,Monson,18,NA
2020-04-29,Montague,19,NA
2020-04-29,Monterey,0,NA
2020-04-29,Montgomery,3,NA
2020-04-29,Mount Washington,0,NA
2020-04-29,Nahant,29,NA
2020-04-29,Nantucket,11,NA
2020-04-29,Natick,280,NA
2020-04-29,Needham,217,NA
2020-04-29,New Ashford,0,NA
2020-04-29,New Bedford,579,NA
2020-04-29,New Braintree,3,NA
2020-04-29,New Marlborough,3,NA
2020-04-29,New Salem,0,NA
2020-04-29,Newbury,6,NA
2020-04-29,Newburyport,46,NA
2020-04-29,Newton,553,NA
2020-04-29,Norfolk,18,NA
2020-04-29,North Adams,42,NA
2020-04-29,North Andover,170,NA
2020-04-29,North Attleborough,158,NA
2020-04-29,North Brookfield,7,NA
2020-04-29,North Reading,141,NA
2020-04-29,Northampton,167,NA
2020-04-29,Northborough,130,NA
2020-04-29,Northbridge,117,NA
2020-04-29,Northfield,0,NA
2020-04-29,Norton,86,NA
2020-04-29,Norwell,77,NA
2020-04-29,Norwood,390,NA
2020-04-29,Oak Bluffs,3,NA
2020-04-29,Oakham,3,NA
2020-04-29,Orange,26,NA
2020-04-29,Orleans,13,NA
2020-04-29,Otis,3,NA
2020-04-29,Oxford,29,NA
2020-04-29,Palmer,23,NA
2020-04-29,Paxton,13,NA
2020-04-29,Peabody,611,NA
2020-04-29,Pelham,3,NA
2020-04-29,Pembroke,52,NA
2020-04-29,Pepperell,28,NA
2020-04-29,Peru,3,NA
2020-04-29,Petersham,5,NA
2020-04-29,Phillipston,8,NA
2020-04-29,Pittsfield,131,NA
2020-04-29,Plainfield,0,NA
2020-04-29,Plainville,39,NA
2020-04-29,Plymouth,222,NA
2020-04-29,Plympton,5,NA
2020-04-29,Princeton,3,NA
2020-04-29,Provincetown,21,NA
2020-04-29,Quincy,767,NA
2020-04-29,Randolph,643,NA
2020-04-29,Raynham,176,NA
2020-04-29,Reading,190,NA
2020-04-29,Rehoboth,32,NA
2020-04-29,Revere,1123,NA
2020-04-29,Richmond,5,NA
2020-04-29,Rochester,14,NA
2020-04-29,Rockland,206,NA
2020-04-29,Rockport,33,NA
2020-04-29,Rowe,0,NA
2020-04-29,Rowley,28,NA
2020-04-29,Royalston,3,NA
2020-04-29,Russell,8,NA
2020-04-29,Rutland,28,NA
2020-04-29,Salem,369,NA
2020-04-29,Salisbury,33,NA
2020-04-29,Sandisfield,3,NA
2020-04-29,Sandwich,66,NA
2020-04-29,Saugus,298,NA
2020-04-29,Savoy,3,NA
2020-04-29,Scituate,62,NA
2020-04-29,Seekonk,43,NA
2020-04-29,Sharon,91,NA
2020-04-29,Sheffield,11,NA
2020-04-29,Shelburne,6,NA
2020-04-29,Sherborn,10,NA
2020-04-29,Shirley,115,NA
2020-04-29,Shrewsbury,183,NA
2020-04-29,Shutesbury,3,NA
2020-04-29,Somerset,61,NA
2020-04-29,Somerville,573,NA
2020-04-29,South Hadley,51,NA
2020-04-29,Southampton,25,NA
2020-04-29,Southborough,27,NA
2020-04-29,Southbridge,53,NA
2020-04-29,Southwick,39,NA
2020-04-29,Spencer,23,NA
2020-04-29,Springfield,1317,NA
2020-04-29,Sterling,26,NA
2020-04-29,Stockbridge,10,NA
2020-04-29,Stoneham,260,NA
2020-04-29,Stoughton,401,NA
2020-04-29,Stow,16,NA
2020-04-29,Sturbridge,24,NA
2020-04-29,Sudbury,76,NA
2020-04-29,Sunderland,9,NA
2020-04-29,Sutton,25,NA
2020-04-29,Swampscott,97,NA
2020-04-29,Swansea,54,NA
2020-04-29,Taunton,558,NA
2020-04-29,Templeton,93,NA
2020-04-29,Tewksbury,357,NA
2020-04-29,Tisbury,3,NA
2020-04-29,Tolland,3,NA
2020-04-29,Topsfield,87,NA
2020-04-29,Townsend,21,NA
2020-04-29,Truro,9,NA
2020-04-29,Tyngsborough,72,NA
2020-04-29,Tyringham,3,NA
2020-04-29,Upton,13,NA
2020-04-29,Uxbridge,51,NA
2020-04-29,Wakefield,210,NA
2020-04-29,Wales,3,NA
2020-04-29,Walpole,178,NA
2020-04-29,Waltham,748,NA
2020-04-29,Ware,15,NA
2020-04-29,Wareham,115,NA
2020-04-29,Warren,6,NA
2020-04-29,Warwick,0,NA
2020-04-29,Washington,3,NA
2020-04-29,Watertown,273,NA
2020-04-29,Wayland,59,NA
2020-04-29,Webster,75,NA
2020-04-29,Wellesley,187,NA
2020-04-29,Wellfleet,3,NA
2020-04-29,Wendell,0,NA
2020-04-29,Wenham,12,NA
2020-04-29,West Boylston,26,NA
2020-04-29,West Bridgewater,65,NA
2020-04-29,West Brookfield,10,NA
2020-04-29,West Newbury,5,NA
2020-04-29,West Springfield,217,NA
2020-04-29,West Stockbridge,3,NA
2020-04-29,West Tisbury,7,NA
2020-04-29,Westborough,209,NA
2020-04-29,Westfield,344,NA
2020-04-29,Westford,115,NA
2020-04-29,Westhampton,3,NA
2020-04-29,Westminster,14,NA
2020-04-29,Weston,80,NA
2020-04-29,Westport,43,NA
2020-04-29,Westwood,82,NA
2020-04-29,Weymouth,504,NA
2020-04-29,Whately,3,NA
2020-04-29,Whitman,124,NA
2020-04-29,Wilbraham,115,NA
2020-04-29,Williamsburg,8,NA
2020-04-29,Williamstown,79,NA
2020-04-29,Wilmington,241,NA
2020-04-29,Winchendon,51,NA
2020-04-29,Winchester,76,NA
2020-04-29,Windsor,0,NA
2020-04-29,Worcester,2223,NA
2020-04-29,Winthrop,167,NA
2020-05-06,Abington,177,NA
2020-05-06,Acton,95,NA
2020-05-06,Acushnet,47,NA
2020-05-06,Adams,32,NA
2020-05-06,Agawam,333,NA
2020-05-06,Alford,0,NA
2020-05-06,Amesbury,156,NA
2020-05-06,Amherst,60,NA
2020-05-06,Andover,210,NA
2020-05-06,Aquinnah,0,NA
2020-05-06,Arlington,248,NA
2020-05-06,Ashburnham,17,NA
2020-05-06,Ashby,8,NA
2020-05-06,Ashfield,3,NA
2020-05-06,Ashland,145,NA
2020-05-06,Athol,41,NA
2020-05-06,Attleboro,480,NA
2020-05-06,Auburn,152,NA
2020-05-06,Avon,56,NA
2020-05-06,Ayer,45,NA
2020-05-06,Barnstable,238,NA
2020-05-06,Barre,42,NA
2020-05-06,Becket,11,NA
2020-05-06,Bedford,190,NA
2020-05-06,Belchertown,69,NA
2020-05-06,Bellingham,96,NA
2020-05-06,Belmont,182,NA
2020-05-06,Berkley,41,NA
2020-05-06,Berlin,14,NA
2020-05-06,Bernardston,6,NA
2020-05-06,Beverly,440,NA
2020-05-06,Billerica,401,NA
2020-05-06,Blackstone,29,NA
2020-05-06,Blandford,0,NA
2020-05-06,Bolton,10,NA
2020-05-06,Boston,10729,NA
2020-05-06,Bourne,124,NA
2020-05-06,Boxborough,19,NA
2020-05-06,Boxford,30,NA
2020-05-06,Boylston,13,NA
2020-05-06,Braintree,668,NA
2020-05-06,Brewster,91,NA
2020-05-06,Bridgewater,287,NA
2020-05-06,Brimfield,3,NA
2020-05-06,Brockton,3179,NA
2020-05-06,Brookfield,8,NA
2020-05-06,Brookline,308,NA
2020-05-06,Buckland,7,NA
2020-05-06,Burlington,201,NA
2020-05-06,Cambridge,826,NA
2020-05-06,Canton,239,NA
2020-05-06,Carlisle,9,NA
