long,lat,order,hole,piece,group,id,Town
-71.0689371,42.36705702,7851,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06888956,42.36711135,7852,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06865432,42.36713151,7853,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06853956,42.36714135,7854,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06832956,42.36712135,7855,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06840956,42.36727135,7856,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06793489,42.3675017,7857,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06772956,42.36760135,7858,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06755997,42.36766285,7859,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06681956,42.36793135,7860,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06674164,42.36794957,7861,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06557956,42.36822135,7862,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06511956,42.36835135,7863,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06466886,42.36840064,7864,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06447956,42.36842135,7865,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06413956,42.36841134,7866,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06383956,42.36839134,7867,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06361956,42.36834135,7868,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.0632774,42.36825264,7869,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06280956,42.36813135,7870,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06268956,42.36810135,7871,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06217956,42.36799134,7872,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06187956,42.36796135,7873,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06180898,42.36796919,7874,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
